version,date,description
b10075,2026-07-20T23:47:43Z,hexagon: add CLAMP op (#25934)
b10069,2026-07-20T06:29:53Z,opencl: Support broadcast for Adreno MUL_MAT and honor `view_offs` for Adreno Q8_0 MUL_MAT for llama-server multi-stream (#25910) | opencl: handle broadcast for adreno gemm/gemv_noshuffle | opencl: honor view_offs for adreno noshuffle gemm/gemv | opencl: general GEMM/GEMV support broadcast | opencl: remove unnecessary tests | opencl: remove unnecessary comments --------- Co-authored-by: Li He
b10068,2026-07-18T13:36:42Z,model: rotate injected K/V cache for DFlash (#25823) | dflash: rotate injected K/V cache when using K/V quantization | Update src/models/dflash.cpp Co-authored-by: Georgi Gerganov | clearer format | remove trailing whitespace --------- Co-authored-by: Georgi Gerganov
b10067,2026-07-18T12:12:58Z,"llama-quant : exclude i32 ffn_gate_tid2eid routing table from quantization (#25787) DeepSeek-V4's ffn_gate_tid2eid tensor is an i32 token-id -> expert-id index table, not weights. It was never added to the name-based exclusion list alongside ffn_gate_inp.weight, so llama-quantize tries to quantize it and fails since i32 cannot convert to a float type. Fixes ggml-org/llama.cpp#25754 Signed-off-by: Yash Raj Pandey"
b10066,2026-07-17T23:13:36Z,opencl: load and use `kernel_gemm_moe_q6_k_f32_ns` from bin kernel lib (#25797)
b10064,2026-07-17T15:40:55Z,opencl: transpose q4_K noshuffle scales for coalesced reads (#25805)
b10063,2026-07-17T14:58:33Z,sync : ggml
b10061,2026-07-17T14:18:08Z,tests : initialize all tensors in test_dsv4_hc to avoid NaNs in sentinel tensors (#25822) Co-authored-by: Stanisław Szymczyk
b10059,2026-07-17T12:22:39Z,ggml-blas: default hadamard mul_mat to cpu routine (#25710) Signed-off-by: Aaron Teo
b10058,2026-07-17T11:44:06Z,"vulkan: Support Q2_0 (#25430) | vulkan: Support Q2_0 The backend perf tests for mat-vec-mul weren't very good at first (worse than q2_k), doubling the rows per workgroup made a big difference. | reorder | resolve merge conflict, adjust err threshold for f16->q2_0 set_rows"
b10057,2026-07-17T10:22:26Z,sycl: fix row calculation when K_QUANTS_PER_ITERATION is 1 (#25690) | sycl: fix incorrect row calculation when K_QUANTS_PER_ITERATION=1 Signed-off-by: Todd Malsbary | sycl: use K_QUANTS_PER_ITERATION for non-reordered Q5_K kernel This is the only Q5_K kernel that was not using KQPI. Signed-off-by: Todd Malsbary | sycl: add missing second half processing to reordered q5_k Error found while running GGML_SYCL_PRIORITIZE_DMMV=1 \ build/bin/test-backend-ops test -o MUL_MAT Signed-off-by: Todd Malsbary | sycl: fix potential off-by-one error Signed-off-by: Todd Malsbary | sycl: fix missing row > nrows check Signed-off-by: Todd Malsbary --------- Signed-off-by: Todd Malsbary
b10056,2026-07-17T08:33:07Z,opencl: add ABS op (#25115)
b10054,2026-07-17T00:29:02Z,docs: added a note about using OpenCl with Adreno 810 (#25786)
